# |V|, density, cputime
31.000000,0.425806,-0.000405
20.000000,0.515789,-0.000257
20.000000,0.642105,-0.000331
22.000000,0.740260,-0.000353
35.000000,0.838655,-0.000967
46.000000,0.342995,-0.001064
35.000000,0.445378,-0.000612
44.000000,0.560254,-0.001018
42.000000,0.649245,-0.001205
47.000000,0.751156,-0.001779
27.000000,0.834758,-0.000465
26.000000,0.320000,-0.000195
38.000000,0.455192,-0.000646
23.000000,0.521739,-0.000273
24.000000,0.634058,-0.000361
21.000000,0.742857,-0.000343
42.000000,0.854820,-0.001324
48.000000,0.342199,-0.001326
36.000000,0.449206,-0.000654
32.000000,0.528226,-0.000519
27.000000,0.649573,-0.000434
42.000000,0.754936,-0.001408
42.000000,0.854820,-0.001361
49.000000,0.344388,-0.000740
44.000000,0.461945,-0.001039
47.000000,0.542091,-0.001232
24.000000,0.634058,-0.000337
24.000000,0.739130,-0.000462
48.000000,0.851950,-0.002192
46.000000,0.342995,-0.000735
22.000000,0.419913,-0.000234
23.000000,0.521739,-0.000284
42.000000,0.649245,-0.001353
24.000000,0.739130,-0.000356
38.000000,0.847795,-0.001286
44.000000,0.349894,-0.000673
33.000000,0.435606,-0.000563
36.000000,0.547619,-0.000827
38.000000,0.652916,-0.000881
27.000000,0.752137,-0.000491
43.000000,0.857143,-0.001605
22.000000,0.307359,-0.000170
31.000000,0.425806,-0.000393
26.000000,0.541538,-0.000400
50.000000,0.645714,-0.001728
35.000000,0.739496,-0.000914
41.000000,0.851220,-0.001259
24.000000,0.318841,-0.000181
32.000000,0.425403,-0.000442
35.000000,0.542857,-0.000682
43.000000,0.651163,-0.001246
25.000000,0.750000,-0.000419
32.000000,0.834677,-0.000738
35.000000,0.334454,-0.000394
41.000000,0.457317,-0.000797
28.000000,0.547619,-0.000397
20.000000,0.642105,-0.000258
23.000000,0.735178,-0.000386
25.000000,0.843333,-0.000538
40.000000,0.344872,-0.000524
48.000000,0.446809,-0.001656
23.000000,0.521739,-0.000261
43.000000,0.651163,-0.001194
37.000000,0.749249,-0.001010
26.000000,0.843077,-0.000480
46.000000,0.342995,-0.000838
20.000000,0.421053,-0.000204
30.000000,0.540230,-0.000610
32.000000,0.629032,-0.000767
26.000000,0.753846,-0.000472
45.000000,0.856566,-0.001489
50.000000,0.344490,-0.000882
26.000000,0.440000,-0.000292
45.000000,0.552525,-0.000925
20.000000,0.642105,-0.000265
27.000000,0.752137,-0.000532
20.000000,0.842105,-0.000393
26.000000,0.320000,-0.000198
38.000000,0.455192,-0.000743
25.000000,0.536667,-0.000368
27.000000,0.649573,-0.000468
21.000000,0.742857,-0.000403
24.000000,0.836957,-0.000319
24.000000,0.318841,-0.000227
32.000000,0.425403,-0.000502
31.000000,0.533333,-0.000476
24.000000,0.634058,-0.000354
22.000000,0.740260,-0.000420
20.000000,0.842105,-0.000374
42.000000,0.342625,-0.000707
20.000000,0.421053,-0.000154
23.000000,0.521739,-0.000285
50.000000,0.645714,-0.001470
25.000000,0.750000,-0.000400
32.000000,0.834677,-0.000625
22.000000,0.307359,-0.000215
39.000000,0.452092,-0.000725
37.000000,0.548048,-0.000841
40.000000,0.651282,-0.000860
37.000000,0.749249,-0.001139
21.000000,0.847619,-0.000076
28.000000,0.335979,-0.000342
46.000000,0.450242,-0.000964
50.000000,0.545306,-0.001691
43.000000,0.651163,-0.001534
30.000000,0.744828,-0.000646
23.000000,0.837945,-0.000345
42.000000,0.342625,-0.000580
49.000000,0.447279,-0.001270
41.000000,0.557317,-0.001055
33.000000,0.630682,-0.000735
20.000000,0.731579,-0.000335
26.000000,0.843077,-0.000581
27.000000,0.321937,-0.000279
35.000000,0.445378,-0.000626
23.000000,0.521739,-0.000261
36.000000,0.649206,-0.000616
24.000000,0.739130,-0.000435
37.000000,0.846847,-0.001033
40.000000,0.344872,-0.000532
49.000000,0.447279,-0.001271
45.000000,0.552525,-0.001429
32.000000,0.629032,-0.000719
30.000000,0.744828,-0.000704
29.000000,0.837438,-0.000594
48.000000,0.342199,-0.000909
40.000000,0.456410,-0.000717
38.000000,0.551920,-0.000947
41.000000,0.652439,-0.001049
50.000000,0.751020,-0.002261
40.000000,0.844872,-0.001155
